distortion,severity,detection_f1
gaussian_noise,L1,0.5398256833623137
gaussian_noise,L2,0.42739178169572434
gaussian_noise,L3,0.3314123155946943
gaussian_noise,L4,0.228879729737057
gaussian_noise,L5,0.14696702473359957
jpeg_compression,L1,0.6297055915459332
jpeg_compression,L2,0.5878121543950945
jpeg_compression,L3,0.534481194688819
jpeg_compression,L4,0.4399572266378856
jpeg_compression,L5,0.12160110003724876
low_light,L1,0.6564975256592755
low_light,L2,0.6138893117075861
low_light,L3,0.5523585320007066
low_light,L4,0.4681804086151723
low_light,L5,0.22733740352525245
rain,L1,0.6589772698693614
rain,L2,0.6256834640821872
rain,L3,0.5734803653634766
rain,L4,0.5352443898536089
rain,L5,0.48286626506928026
