distortion,severity,severity_index,intensity,snr_db,psnr
gaussian_noise,L1,1,0.2,24.40530494970874,30.17364013438307
gaussian_noise,L2,2,0.4,18.509763772824098,24.278098957498432
gaussian_noise,L3,3,0.6,15.116265753416217,20.88460093809055
gaussian_noise,L4,4,0.8,12.757890788536391,18.526225973210728
gaussian_noise,L5,5,1.0,10.975732979924546,16.74406816459888
jpeg_compression,L1,1,0.2,33.28501538604264,39.053350570716965
jpeg_compression,L2,2,0.4,30.588982373706912,36.35731755838125
jpeg_compression,L3,3,0.6,29.006693927723155,34.77502911239749
jpeg_compression,L4,4,0.8,26.924865073047556,32.69320025772189
jpeg_compression,L5,5,1.0,22.56172645360582,28.330061638280156
low_light,L1,1,0.2,9.44381486804815,15.212150052722484
low_light,L2,2,0.4,5.70983705709983,11.478172241774164
low_light,L3,3,0.6,3.256304272004844,9.02463945667918
low_light,L4,4,0.8,1.5834177235420268,7.351752908216361
low_light,L5,5,1.0,0.4991798253134309,6.267515009987765
rain,L1,1,0.2,36.068990083391064,41.8373252680654
rain,L2,2,0.4,31.97074924154652,37.73908442622085
rain,L3,3,0.6,28.54257426187617,34.310909446550504
rain,L4,4,0.8,26.12502357727357,31.893358761947905
rain,L5,5,1.0,23.693746025268613,29.462081209942944
