stage,task,distortion,metric,value
clean,features,,match_accuracy,1.0
clean,edges,,edge_f1,1.0
clean,detection,,detection_f1,1.0
clean,segmentation,,miou,0.45628691795605436
distorted,features,gaussian_noise,match_accuracy,0.6825387371929541
distorted,features,jpeg_compression,match_accuracy,0.8088110187349921
distorted,features,low_light,match_accuracy,0.4550614080890364
distorted,features,rain,match_accuracy,0.827892514125165
distorted,edges,gaussian_noise,edge_f1,0.39031585686603204
distorted,edges,jpeg_compression,edge_f1,0.6895943910910551
distorted,edges,low_light,edge_f1,0.4150564367481242
distorted,edges,rain,edge_f1,0.9091013614069989
distorted,detection,gaussian_noise,detection_f1,0.3348953070246778
distorted,detection,jpeg_compression,detection_f1,0.4627114534609962
distorted,detection,low_light,detection_f1,0.5036526363015986
distorted,detection,rain,detection_f1,0.5752503508475829
distorted,segmentation,gaussian_noise,miou,0.34440721193600776
distorted,segmentation,jpeg_compression,miou,0.43180709142175855
distorted,segmentation,low_light,miou,0.42789528022694656
distorted,segmentation,rain,miou,0.4393981656330243
enhanced,features,gaussian_noise,match_accuracy,0.4720798064718496
enhanced,features,jpeg_compression,match_accuracy,0.7137928236990909
enhanced,features,low_light,match_accuracy,0.33110445790486887
enhanced,features,rain,match_accuracy,0.7829818563853909
enhanced,edges,gaussian_noise,edge_f1,0.40433178569132394
enhanced,edges,jpeg_compression,edge_f1,0.5458615628938726
enhanced,edges,low_light,edge_f1,0.5470948539719974
enhanced,edges,rain,edge_f1,0.8954760092578093
enhanced,detection,gaussian_noise,detection_f1,0.3365731139534602
enhanced,detection,jpeg_compression,detection_f1,0.47238018727896314
enhanced,detection,low_light,detection_f1,0.5298990982495019
enhanced,detection,rain,detection_f1,0.5675868013080366
enhanced,segmentation,gaussian_noise,miou,0.3359306860260288
enhanced,segmentation,jpeg_compression,miou,0.41543386731674
enhanced,segmentation,low_light,miou,0.4078001967304001
enhanced,segmentation,rain,miou,0.43925386236585573
finetuned,detection,gaussian_noise,detection_f1,0.47528118618461124
finetuned,detection,jpeg_compression,detection_f1,0.41910316458126845
finetuned,detection,low_light,detection_f1,0.42269604003558636
finetuned,detection,rain,detection_f1,0.44879348286046816
